S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-09-01,8.73,9.01,8.51,9.00,0.00,"7,600.00","67,157.00"
2,2026-08-31,8.9,9.16,8.72,9.0,-1.1,"7,800.00","70,209.00"
3,2026-08-27,8.85,9.15,8.85,9.14,0.44,"10,100.00","91,795.50"
4,2026-08-26,8.88,9.1,8.88,9.1,-0.55,"4,300.00","38,943.00"
5,2026-08-25,8.8,9.16,8.8,9.15,1.1,"15,500.00","140,034.00"
6,2026-08-24,8.74,9.05,8.72,9.05,0.44,"8,400.00","75,398.00"
7,2026-08-21,9.02,9.27,8.9,9.01,-0.22,"13,922.00","126,059.00"
8,2026-08-20,9.02,9.05,9.01,9.03,0.11,"4,900.00","44,226.00"
9,2026-08-19,9.01,9.29,8.8,9.02,-0.11,"7,950.00","72,106.50"
10,2026-08-18,9.0,9.11,8.92,9.03,-0.77,"7,350.00","66,435.50"
11,2026-08-17,9.05,9.32,9.05,9.1,-2.36,"6,000.00","54,701.00"
12,2026-08-14,9.0,9.32,9.0,9.32,2.42,"12,250.00","112,071.50"
13,2026-08-13,9.2,9.4,9.0,9.1,-1.19,"8,545.00","78,343.40"
14,2026-08-12,8.78,9.5,8.78,9.21,1.77,"21,470.00","199,287.50"
15,2026-08-11,9.0,9.11,8.93,9.05,-2.16,"8,040.00","72,614.80"
16,2026-08-10,9.0,9.25,8.96,9.25,1.09,"32,050.00","290,849.50"
17,2026-08-07,9.1,9.5,8.99,9.15,-0.11,"38,577.00","356,587.36"
18,2026-08-06,9.2,9.5,8.75,9.16,-3.07,"26,480.00","243,789.80"
19,2026-08-05,10.0,10.0,9.06,9.45,-5.5,"42,010.00","385,279.50"
