S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-19,872.30,890.00,872.10,882.00,-0.56,780.00,"686,746.50"
2,2026-08-18,916.00,916.00,880.00,887.00,-0.34,"1,509.00","1,335,826.40"
3,2026-08-17,941.10,941.10,884.00,890.00,-1.11,"2,990.00","2,686,189.00"
4,2026-08-14,900.00,909.00,885.00,900.00,-0.77,"1,831.00","1,630,556.60"
5,2026-08-13,944.40,944.40,866.30,907.00,0.67,"5,643.00","5,001,243.40"
6,2026-08-12,915.00,915.00,895.60,901.00,-0.55,"1,137.00","1,022,442.60"
7,2026-08-11,919.00,919.00,896.20,906.00,0.89,"4,285.00","3,870,773.80"
8,2026-08-10,900.00,913.00,894.00,898.00,-1.32,"1,819.00","1,634,475.10"
9,2026-08-07,932.80,932.80,905.10,910.00,-0.33,"1,872.00","1,705,748.10"
10,2026-08-06,928.00,928.00,910.30,913.00,-1.71,"3,014.00","2,771,683.00"
11,2026-08-05,901.20,930.00,901.20,928.90,-0.01,550.00,"504,432.00"
12,2026-08-04,930.00,957.00,910.30,929.00,-0.11,"1,517.00","1,402,202.70"
13,2026-08-03,925.00,944.00,922.00,930.00,0.54,"1,902.00","1,762,028.30"
14,2026-07-31,915.10,937.00,913.10,925.00,0.33,874.00,"805,796.30"
15,2026-07-30,930.10,961.50,922.00,922.00,-1.71,"4,048.00","3,779,900.20"
16,2026-07-29,932.40,945.00,932.40,938.00,-0.37,"1,591.00","1,491,738.70"
17,2026-07-28,940.00,949.50,922.00,941.50,0.16,"4,519.00","4,250,900.50"
18,2026-07-27,961.00,990.00,940.00,940.00,-4.47,"3,903.00","3,741,891.20"
19,2026-07-24,970.00,990.00,952.00,984.00,1.44,"5,608.00","5,487,480.50"
20,2026-07-23,950.00,978.30,950.00,970.00,-0.72,"2,693.00","2,581,473.60"
21,2026-07-22,934.00,977.00,934.00,977.00,1.88,"2,126.00","2,022,493.80"
22,2026-07-21,979.90,985.00,950.90,959.00,-0.52,"6,113.00","5,928,540.10"
23,2026-07-20,932.00,973.90,930.00,964.00,2.58,"5,428.00","5,228,029.90"
24,2026-07-17,913.00,940.00,893.20,939.80,5.61,"2,382.00","2,195,168.40"
25,2026-07-16,880.00,900.00,880.00,889.90,-1.01,"3,020.00","2,675,017.40"
26,2026-07-15,872.00,910.00,872.00,899.00,1.35,"1,427.00","1,278,950.00"
27,2026-07-14,881.00,900.10,860.00,887.00,0.23,"3,254.00","2,854,140.50"
28,2026-07-13,900.10,910.00,885.00,885.00,-2.96,"5,163.00","4,610,883.90"
29,2026-07-10,906.00,945.00,906.00,912.00,-1.3,"2,998.00","2,749,856.00"
30,2026-07-09,920.00,939.00,920.00,924.00,-1.49,"1,941.00","1,789,170.70"
31,2026-07-08,943.00,943.00,929.00,938.00,-0.45,"3,178.00","2,964,476.80"
32,2026-07-07,950.00,960.10,935.20,942.20,-0.82,"3,384.00","3,197,429.00"
33,2026-07-06,953.00,959.00,950.00,950.00,-1.96,"1,535.00","1,463,007.40"
34,2026-07-03,950.00,977.50,950.00,969.00,1.15,"1,629.00","1,555,567.30"
35,2026-07-02,965.00,978.00,951.00,958.00,-0.73,"1,927.00","1,845,782.40"
36,2026-07-01,945.00,969.90,941.00,965.00,2.12,"4,494.00","4,280,678.40"
37,2026-06-30,952.00,960.10,945.00,945.00,-0.74,"1,528.00","1,453,817.50"
38,2026-06-29,973.00,975.00,950.00,952.00,-2.16,"2,935.00","2,811,265.00"
39,2026-06-26,918.90,988.50,918.90,973.00,0.6,"1,759.00","1,716,914.90"
40,2026-06-25,980.00,995.00,965.40,967.20,-1.31,"4,101.00","3,995,421.10"
41,2026-06-24,"1,005.00","1,029.80",970.30,980.00,-1.12,"3,147.00","3,106,439.90"
42,2026-06-23,"1,004.90","1,005.00",990.00,991.10,-1.38,"4,383.00","4,354,947.60"
43,2026-06-22,"1,017.00","1,020.10","1,005.00","1,005.00",-1.18,"2,519.00","2,544,890.10"
44,2026-06-19,"1,020.00","1,021.00","1,002.20","1,017.00",0.2,"1,575.00","1,595,776.00"
45,2026-06-18,"1,013.10","1,047.90","1,000.00","1,015.00",-1.17,"4,712.00","4,758,630.70"
46,2026-06-17,"1,012.00","1,039.00","1,012.00","1,027.00",-1.06,"1,790.00","1,845,313.60"
47,2026-06-16,"1,025.00","1,040.00","1,010.00","1,038.00",1.27,"3,198.00","3,255,616.60"
48,2026-06-15,"1,040.00","1,060.00","1,016.10","1,025.00",-1.25,"2,542.00","2,617,094.50"
49,2026-06-12,"1,040.00","1,064.00","1,032.10","1,038.00",-1.24,"1,765.00","1,834,290.90"
50,2026-06-11,"1,047.00","1,078.30","1,032.10","1,051.00",-0.84,"3,812.00","4,060,205.00"
51,2026-06-10,"1,040.00","1,070.00","1,040.00","1,059.90",-0.28,"4,684.00","4,953,970.40"
52,2026-06-09,"1,061.00","1,070.00","1,030.00","1,062.90",0.0,"4,575.00","4,774,211.80"
53,2026-06-08,"1,042.20","1,070.00","1,042.20","1,062.90",-0.46,"3,732.00","3,934,744.30"
54,2026-06-05,"1,137.10","1,137.10","1,058.00","1,067.80",-1.4,"4,641.00","4,940,662.00"
55,2026-06-04,"1,100.00","1,122.00","1,070.00","1,083.00",-3.13,"6,745.00","7,370,111.90"
56,2026-06-03,"1,112.00","1,140.00","1,092.20","1,118.00",2.29,"11,050.00","12,399,800.60"
57,2026-06-02,"1,035.10","1,112.50","1,035.10","1,093.00",3.71,"12,005.00","12,940,542.40"
58,2026-06-01,"1,040.00","1,094.00","1,015.00","1,053.90",0.39,"6,354.00","6,752,672.10"
59,2026-05-27,"1,065.00","1,067.00","1,030.30","1,049.80",0.46,"4,242.00","4,419,131.20"
60,2026-05-26,"1,111.90","1,111.90","1,040.00","1,045.00",-1.32,"2,240.00","2,345,705.00"
61,2026-05-25,"1,040.00","1,059.80","1,025.00","1,059.00",3.32,"7,700.00","8,069,201.10"
62,2026-05-22,"1,030.00","1,040.00","1,001.10","1,025.00",-1.44,"3,986.00","4,068,900.50"
63,2026-05-21,"1,096.20","1,096.20","1,025.00","1,040.00",-0.38,"2,166.00","2,245,537.10"
64,2026-05-20,965.00,"1,050.00",965.00,"1,044.00",2.86,"5,105.00","5,269,062.50"
65,2026-05-19,"1,057.30","1,057.30","1,000.10","1,015.00",0.79,"3,516.00","3,560,870.40"
66,2026-05-18,"1,000.00","1,016.00","1,000.00","1,007.00",-0.05,"2,190.00","2,208,918.00"
67,2026-05-15,"1,000.00","1,015.00","1,000.00","1,007.50",0.75,"2,801.00","2,813,077.70"
68,2026-05-14,"1,000.00","1,015.00",991.00,"1,000.00",-1.57,"4,615.00","4,611,260.00"
