S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-19,"1,065.00","1,065.00","1,037.00","1,045.00",-1.42,"3,586.00","3,776,093.70"
2,2026-08-18,"1,071.00","1,090.00","1,051.10","1,060.00",-1.85,"4,788.00","5,123,250.70"
3,2026-08-17,"1,084.90","1,085.10","1,070.50","1,080.00",-0.45,"3,466.00","3,730,558.50"
4,2026-08-14,"1,080.00","1,093.70","1,078.00","1,084.90",-0.72,"2,426.00","2,629,304.40"
5,2026-08-13,"1,077.20","1,107.50","1,075.00","1,092.80",0.45,"4,422.00","4,800,053.50"
6,2026-08-12,"1,040.40","1,100.00","1,040.40","1,087.90",-0.66,"3,313.00","3,580,643.00"
7,2026-08-11,"1,070.00","1,117.00","1,070.00","1,095.10",2.35,"5,184.00","5,730,011.90"
8,2026-08-10,"1,075.00","1,075.00","1,058.00","1,070.00",-1.83,"5,182.00","5,520,691.00"
9,2026-08-07,"1,086.00","1,096.90","1,065.00","1,090.00",-0.73,"4,949.00","5,315,486.20"
10,2026-08-06,"1,108.00","1,112.00","1,080.00","1,098.00",-1.26,"2,330.00","2,550,054.00"
11,2026-08-05,"1,104.10","1,115.00","1,090.00","1,112.00",-0.27,"4,866.00","5,356,942.30"
12,2026-08-04,"1,125.00","1,134.00","1,115.00","1,115.00",-2.11,"4,736.00","5,313,097.00"
13,2026-08-03,"1,122.00","1,171.00","1,122.00","1,139.00",0.09,"3,132.00","3,559,460.00"
14,2026-07-31,"1,111.00","1,138.00","1,101.10","1,138.00",1.7,"7,234.00","8,097,109.00"
15,2026-07-30,"1,131.00","1,139.00","1,104.00","1,119.00",-1.4,"5,278.00","5,902,162.50"
16,2026-07-29,"1,136.00","1,140.00","1,120.00","1,134.90",-0.01,"3,628.00","4,103,092.80"
17,2026-07-28,"1,199.20","1,199.20","1,121.10","1,135.00",-1.9,"6,428.00","7,350,631.00"
18,2026-07-27,"1,201.10","1,223.90","1,130.30","1,157.00",-4.47,"13,356.00","15,631,940.00"
19,2026-07-24,"1,140.00","1,235.90","1,140.00","1,211.10",5.5,"22,390.00","26,812,821.10"
20,2026-07-23,"1,100.00","1,148.00","1,100.00","1,148.00",3.33,"12,509.00","14,025,143.20"
21,2026-07-22,"1,126.00","1,155.00","1,111.00","1,111.00",-3.22,"11,465.00","12,862,953.60"
22,2026-07-21,"1,083.00","1,218.00","1,083.00","1,148.00",0.7,"11,053.00","12,735,874.90"
23,2026-07-20,"1,120.00","1,177.00","1,078.00","1,140.00",2.61,"17,738.00","20,272,133.60"
