S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-05-19,250.00,250.00,250.00,250.00,0.00,"37,193.00","9,298,250.00"
2,2025-08-11,273.8,273.8,273.8,273.8,-1.97,"71,160.00","19,483,608.00"
3,2025-08-07,285.0,285.0,279.3,279.3,-2.0,"83,700.00","23,615,955.00"
4,2025-06-02,324.0,324.0,324.0,324.0,0.0,"185,000.00","6,660,000.00"
5,2025-05-18,324.0,324.0,324.0,324.0,-1.82,"100,000.00","32,400,000.00"
6,2025-05-15,330.0,330.0,330.0,330.0,-1.84,"100,000.00","33,000,000.00"
7,2025-04-24,343.0,343.0,336.2,336.2,-3.94,"29,220.00","9,886,908.80"
8,2025-03-12,350.0,350.0,350.0,350.0,0.0,"54,000.00","18,900,000.00"
9,2025-03-04,350.0,350.0,350.0,350.0,0.0,"2,000.00","700,000.00"
10,2023-06-27,188.0,188.0,188.0,188.0,2.73,"3,000.00","564,000.00"
11,2023-03-23,183.0,183.0,183.0,183.0,0.0,"63,437.00","11,608,971.00"
12,2022-06-01,270.0,270.0,270.0,270.0,0.0,"33,954.00","9,167,580.00"
13,2022-04-19,270.0,270.0,270.0,270.0,-1.82,"14,709.00","3,971,430.00"
14,2022-02-13,275.0,275.0,275.0,275.0,0.0,"25,000.00","6,875,000.00"
15,2021-10-28,267.0,267.0,267.0,267.0,5.12,"7,500.00","2,002,500.00"
16,2021-08-19,254.0,254.0,254.0,254.0,-1.93,"25,000.00","6,350,000.00"
17,2021-08-05,259.0,259.0,259.0,259.0,-1.89,"132,301.00","34,265,959.00"
18,2021-08-04,264.0,264.0,264.0,264.0,-1.86,"150,000.00","39,600,000.00"
19,2021-08-03,269.0,269.0,269.0,269.0,0.0,"4,100.00","1,102,900.00"
20,2021-02-25,101.0,101.0,100.0,100.0,-0.99,"35,079.00","3,513,525.00"
21,2021-01-26,101.0,101.0,101.0,101.0,1.0,500.00,"50,500.00"
22,2021-01-20,100.0,100.0,100.0,100.0,0.0,"10,802.00","1,080,200.00"
23,2020-10-21,100.0,100.0,100.0,100.0,0.0,200.00,"20,000.00"
24,2020-07-20,100.0,100.0,100.0,100.0,0.0,"16,875.00","1,687,500.00"
25,2020-07-19,100.0,100.0,100.0,100.0,0.0,"36,896.00","3,689,600.00"
26,2019-12-16,100.0,100.0,100.0,100.0,0.0,"136,048.00","13,604,800.00"
27,2019-11-11,100.0,100.0,100.0,100.0,-2.91,"7,329.00","732,900.00"
28,2018-06-12,103.0,103.0,103.0,103.0,-1.9,"150,631.00","15,514,993.00"
29,2017-11-23,103.0,102.0,102.0,102.0,0.0,"11,952.00","1,219,104.00"
