S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-06,324.00,324.00,324.00,324.00,0.00,"84,485.00","27,373,140.00"
2,2025-02-12,408.0,408.0,408.0,408.0,0.0,"8,704.00","3,551,232.00"
3,2023-10-11,200.0,200.0,200.0,200.0,0.0,"16,275.00","3,255,000.00"
4,2023-06-19,172.0,172.0,172.0,172.0,0.0,"27,718.00","4,767,496.00"
5,2022-06-22,250.0,250.0,250.0,250.0,0.0,"60,000.00","15,000,000.00"
6,2022-05-25,250.0,250.0,250.0,250.0,-0.4,"10,000.00","2,500,000.00"
7,2022-03-28,251.0,251.0,251.0,251.0,0.0,"10,000.00","2,510,000.00"
8,2022-03-22,251.0,251.0,251.0,251.0,0.0,"17,500.00","4,392,500.00"
9,2022-03-21,251.0,251.0,251.0,251.0,0.0,"35,000.00","8,785,000.00"
10,2022-03-15,251.0,251.0,251.0,251.0,0.0,"7,500.00","1,882,500.00"
11,2022-03-13,251.0,251.0,251.0,251.0,0.0,"10,000.00","2,510,000.00"
12,2021-12-12,305.0,305.0,305.0,305.0,0.0,"21,500.00","6,557,500.00"
13,2021-09-01,579.0,579.0,579.0,579.0,-1.86,"50,000.00","28,950,000.00"
14,2021-05-24,342.0,342.0,342.0,342.0,-1.72,"100,000.00","34,200,000.00"
15,2021-01-07,194.0,194.0,194.0,194.0,0.0,"13,000.00","2,522,000.00"
16,2019-09-03,155.0,155.0,155.0,155.0,0.0,"31,400.00","4,867,000.00"
17,2019-08-12,155.0,155.0,155.0,155.0,0.0,"33,660.00","5,217,300.00"
18,2019-07-15,155.0,155.0,155.0,155.0,-3.13,820.00,"127,100.00"
19,2019-03-07,160.0,160.0,160.0,160.0,0.0,100.00,"16,000.00"
20,2019-01-02,160.0,160.0,160.0,160.0,-41.82,"25,000.00","4,000,000.00"
21,2017-04-10,275.0,275.0,275.0,275.0,0.0,"6,000.00","1,650,000.00"
22,2017-03-05,275.0,275.0,275.0,275.0,0.0,"6,000.00","1,650,000.00"
23,2017-02-06,280.0,275.0,275.0,275.0,0.0,"8,000.00","2,200,000.00"
24,2017-02-02,285.0,280.0,280.0,280.0,0.0,"5,000.00","1,400,000.00"
25,2017-02-01,290.0,285.0,285.0,285.0,0.0,"5,000.00","1,425,000.00"
26,2017-01-31,295.0,290.0,290.0,290.0,0.0,"5,000.00","1,450,000.00"
27,2017-01-30,301.0,295.0,295.0,295.0,0.0,"5,000.00","1,475,000.00"
28,2017-01-26,313.0,307.0,301.0,301.0,0.0,"10,000.00","3,040,000.00"
29,2016-12-20,319.0,313.0,313.0,313.0,0.0,"9,368.00","2,932,184.00"
30,2016-12-14,325.0,319.0,319.0,319.0,0.0,"4,000.00","1,276,000.00"
31,2016-12-12,331.0,325.0,325.0,325.0,0.0,"4,000.00","1,300,000.00"
32,2016-12-11,337.0,331.0,331.0,331.0,0.0,"4,000.00","1,324,000.00"
33,2016-09-21,364.0,357.0,337.0,337.0,0.0,"2,000.00","693,500.00"
34,2016-09-14,400.0,392.0,364.0,364.0,0.0,"7,000.00","2,674,000.00"
35,2016-09-08,400.0,400.0,400.0,400.0,0.0,"5,087.00","2,034,800.00"
36,2016-08-24,405.0,400.0,400.0,400.0,0.0,"2,500.00","1,000,000.00"
37,2016-03-27,350.0,350.0,350.0,350.0,0.0,"25,000.00","8,750,000.00"
38,2016-03-24,350.0,343.0,315.0,315.0,0.0,"25,000.00","7,875,800.00"
39,2015-06-23,277.0,277.0,275.0,275.0,0.0,"20,250.00","5,568,790.00"
40,2014-12-24,320.0,320.0,320.0,320.0,0.0,"7,000.00","2,240,000.00"
41,2014-12-04,325.0,320.0,320.0,320.0,0.0,"15,000.00","4,800,000.00"
42,2014-08-25,325.0,325.0,325.0,325.0,0.0,500.00,"162,500.00"
43,2014-07-13,320.0,325.0,325.0,325.0,0.0,"28,249.00","9,180,925.00"
