S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-07-17,550.00,550.00,550.00,550.00,0.00,"4,350.00","2,392,500.00"
2,2026-07-16,550.00,550.00,550.00,550.00,0.0,"5,324.00","2,928,200.00"
3,2026-07-15,550.00,550.00,550.00,550.00,0.0,"17,232.00","9,477,600.00"
4,2026-01-25,660.00,660.00,660.00,660.00,0.0,"362,000.00","134,626,300.00"
5,2026-01-05,660.00,660.00,660.00,660.00,0.0,"6,000.00","2,335,000.00"
6,2024-03-26,300.00,300.00,300.00,300.00,20.0,"4,300.00","1,290,000.00"
7,2024-03-21,500.00,500.00,250.00,250.00,0.0,"133,700.00","59,055,000.00"
8,2022-05-11,"1,199.00","1,199.00","1,199.00","1,199.00",0.0,"2,000.00","2,398,000.00"
9,2021-09-26,80.00,80.00,80.00,80.00,0.0,"374,000.00","318,899,500.00"
10,2021-02-16,"1,055.00","1,055.00",954.00,954.00,0.0,"59,600.00","57,222,100.00"
