S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2026-08-27,270.00,270.00,270.00,270.00,0.00,"16,696.00","4,507,920.00"
2,2024-08-22,270.0,270.0,270.0,270.0,0.0,"9,000.00","2,430,000.00"
3,2024-07-29,270.0,270.0,270.0,270.0,-1.82,"15,189.00","4,101,030.00"
4,2024-07-09,275.0,275.0,275.0,275.0,0.0,"64,612.00","17,768,300.00"
5,2024-06-30,275.0,275.0,275.0,275.0,1.85,"50,000.00","13,750,000.00"
6,2024-03-05,270.0,270.0,270.0,270.0,-1.68,"130,288.00","35,177,760.00"
7,2024-02-27,291.7,291.7,274.6,274.6,-7.73,40.00,"11,324.00"
8,2024-02-26,322.4,322.4,297.6,297.6,-9.52,50.00,"15,493.00"
9,2024-02-25,356.4,356.4,328.9,328.9,-9.54,50.00,"17,126.00"
10,2024-02-22,394.0,394.0,363.6,363.6,0.0,50.00,"18,933.00"
