Commercial_Banks,Corporate_Debentures,Development_Bank_Limited,Finance,Government_Bonds,Hotels_And_Tourism,Hydro_Power,Investment,Life_Insurance,Manufacturing_And_Processing,Microfinance,Mutual_Fund,Non-Life_Insurance,Others,Preference_Share,Promoter_Share,Tradings
ADBL,ADBLB,CORBL,BFC,HBLD86,BANDIPUR,AHL,CHDC,ALICL,BNL,ACLBSL,C30MF,HEI,HRL,EBLCP,ACEDPO,BBC
CZBIL,ADBLB86,EDBL,CFCL,JBBD87,CGH,AHPC,CIT,CLI,BNT,ALBSL,CMF1,IGI,JHAPA,,ACLBSLP,STC
EBL,ADBLB87,GBBL,CMB,,CITY,AKJCL,ENL,CREST,ECL,ANLB,CMF2,NICL,MKCL,,AEFLPO,
GBIME,ADBLD83,GRDBL,GFCL,,HFIN,AKPL,HATHY,GMLI,GCIL,AVYAN,CSY,NIL,NFD,,AFCPO,
HBL,BOKD86,JBBL,GMFIL,,KDL,APHL,HIDCL,HLI,HDL,CBBL,GBIMESY2,NLG,NRIC,,AICPO,
KBL,BOKD86KA,KRBL,GUFL,,OHL,API,NIFRA,ILI,NLO,CYCL,GIBF1,NMIC,NRM,,AKBSLP,
LSL,CBLD88,KSBBL,ICFC,,SHL,BARUN,NRN,LICN,OMPL,DDBL,GIMES1,PRIN,NTC,,ALBSLP,
MBL,CCBD88,LBBL,JFL,,TRH,BEDC,,NLIC,PCIL,DLBS,GSY,RBCL,NWCL,,ALICLP,
NABIL,CIZBD86,MDB,MFIL,,,BGWT,,NLICL,RSML,FMDBL,H8020,SALICO,PURE,,ARDBLP,
NBL,CIZBD90,MLBL,MPFL,,,BHCL,,PMLI,SAGAR,FOWAD,HLICF,SGIC,TTL,,BBBLNP,
NICA,EBLD85,MNBBL,NFS,,,BHDC,,RJBCL,SAIL,GBLBS,KDBY,SICL,,,BBBLPO,
NIMB,EBLD86,NABBC,PFL,,,BHL,,RNLI,SAPIL,GILB,KEF,SPIL,,,BFCPO,
NMB,EBLD91,SABBL,PROFL,,,BHPL,,SJLIC,SARBTM,GLBSL,KSY,UAIL,,,BHBLPO,
PCBL,EBLEB89,SADBL,RLFL,,,BJHL,,SNLI,SHIVM,GMFBS,LEMF,,,,BLDBLP,
PRVU,GBBD85,SAPDBL,SIFC,,,BNHC,,SRLI,SONA,HLBSL,LSH12,,,,BOKLPO,
SANIMA,GBD80/81,SHINE,,,,BPCL,,,SOPL,ILBS,LUK,,,,BSBLPO,
SBI,GBILD84/85,SINDU,,,,BUNGAL,,,SRS,JBLB,LVF2,,,,BUDBLP,
SBL,GBILD86/87,,,,,CHCL,,,SYPNL,JSLBB,MBLEF,,,,CBBLPO,
SCB,GWFD83,,,,,CHL,,,UNL,KMCDB,MMF1,,,,CBLPO,
,HBLD83,,,,,CKHL,,,,LLBS,MNMF1,,,,CCBLPO,
,ICFCD83,,,,,DHEL,,,,MATRI,NBF1,,,,CDBLPO,
,ICFCD88,,,,,DHPL,,,,MERO,NBF2,,,,CEDBLP,
,ICFCD89,,,,,DOLTI,,,,MLBBL,NBF3,,,,CEFLPO,
,KBLD86,,,,,DORDI,,,,MLBS,NEF,,,,CFCLPO,
,KBLD89,,,,,EHPL,,,,MLBSL,NIBLGF,,,,CITPO,
,KBLD90,,,,,GHL,,,,MSLB,NIBLPF,,,,CMBFPO,
,KSBBLD87,,,,,GLH,,,,NADEP,NIBLSTF,,,,CORBLP,
,LBBLD89,,,,,GVL,,,,NESDO,NIBSF1,,,,CYCLP,
,LBLD86,,,,,HDHPC,,,,NICLBSL,NIBSF2,,,,CZBILP,
,LBLD88,,,,,HHL,,,,NMBMF,NICBF,,,,DBBLPO,
,MBLD2085,,,,,HIMSTAR,,,,NMFBS,NICFC,,,,DCBLPO,
,MBLD87,,,,,HPPL,,,,NMLBBL,NICGF,,,,DDBLPO,
,MFLD85,,,,,HURJA,,,,NUBL,NICGF2,,,,EBLPO,
,MLBLD89,,,,,IHL,,,,RSDC,NICSF,,,,EDBLPO,
,MND84/85,,,,,JOSHI,,,,SHLB,NMB50,,,,EFLPO,
,NABILD2089,,,,,KAHL,,,,SKBBL,NMBHF1,,,,EICPO,
,NABILD87,,,,,KBSH,,,,SLBBL,NMBHF2,,,,FBBLPO,
,NBBD2085,,,,,KHPL,,,,SLBSL,NSIF2,,,,FFCLPO,
,NBLD82,,,,,KKHC,,,,SMATA,NSY,,,,FMDBLP,
,NBLD85,,,,,KPCL,,,,SMB,PRSF,,,,FOWADP,
,NBLD87,,,,,LEC,,,,SMFBS,PSF,,,,GBBLPO,
,NCCD86,,,,,MABEL,,,,SMPDA,RBBF40,,,,GBIMEP,
,NIBD2082,,,,,MAKAR,,,,SWASTIK,RMF1,,,,GBLBSP,
,NIBD84,,,,,MANDU,,,,SWBBL,RMF2,,,,GDBLPO,
,NICAD2091,,,,,MBJC,,,,SWMF,RSY,,,,GFCLPO,
,NICAD8182,,,,,MCHL,,,,ULBSL,RSY2,,,,GFLPO,
,NICAD8283,,,,,MEHL,,,,UNLB,SAEF,,,,GILBPO,
,NICAD85/86,,,,,MEL,,,,USLB,SAEF2,,,,GLICLP,
,NICD83/84,,,,,MEN,,,,VLBS,SAGF,,,,GMFILP,
,NICD88,,,,,MEPDL,,,,WNLB,SBCF,,,,GRANDP,
,NIFRAGED,,,,,MHCL,,,,,SEF,,,,GRDBLP,
,NIFRAUR85/86,,,,,MHL,,,,,SEF2,,,,GSDBLP,
,NIMBD90,,,,,MHNL,,,,,SFEF,,,,GUFLPO,
,NMBD2085,,,,,MKHC,,,,,SFMF,,,,HAMAPO,
,NMBD87/88,,,,,MKHL,,,,,SIGS2,,,,HAMROP,
,NMBD89/90,,,,,MKJC,,,,,SIGS3,,,,HATHPO,
,PBD84,,,,,MMKJL,,,,,SLCF,,,,HBLPO,
,PBD85,,,,,MSHL,,,,,,,,,HEIP,
,PBD88,,,,,NGPL,,,,,,,,,HGIPO,
,PBLD84,,,,,NHDL,,,,,,,,,HIDCLP,
,PBLD86,,,,,NHPC,,,,,,,,,HLBSLP,
,PBLD87,,,,,NYADI,,,,,,,,,HLIPO,
,RBBD2088,,,,,PHCL,,,,,,,,,ICFCPO,
,RBBD83,,,,,PMHPL,,,,,,,,,IDBLPO,
,SAND2085,,,,,PPCL,,,,,,,,,IGIPO,
,SBD87,,,,,PPL,,,,,,,,,ILBSP,
,SBD89,,,,,RADHI,,,,,,,,,IMEFIP,
,SBIBD86,,,,,RAWA,,,,,,,,,JBBLPO,
,SBID2090,,,,,RFPL,,,,,,,,,JBLBP,
,SBID83,,,,,RHGCL,,,,,,,,,JBNLPO,
,SBID89,,,,,RHPL,,,,,,,,,JEFLPO,
,SBLD2082,,,,,RIDI,,,,,,,,,JFLPO,
,SBLD2091,,,,,RLEL,,,,,,,,,JSLBBP,
,SBLD83,,,,,RURU,,,,,,,,,KADBLP,
,SBLD84,,,,,SAHAS,,,,,,,,,KAFILP,
,SBLD89,,,,,SANVI,,,,,,,,,KBBLPO,
,SCBD,,,,,SGHC,,,,,,,,,KBLPO,
,SDBD87,,,,,SGHL,,,,,,,,,KDBLPO,
,SHINED,,,,,SHEL,,,,,,,,,KFLPO,
,SRBLD83,,,,,SHPC,,,,,,,,,KISTPO,
,SRD80,,,,,SIKLES,,,,,,,,,KLBSLP,
,,,,,,SIPD,,,,,,,,,KMBLPO,
,,,,,,SJCL,,,,,,,,,KMCDBP,
,,,,,,SKHEL,,,,,,,,,KNBLPO,
,,,,,,SKHL,,,,,,,,,KRBLPO,
,,,,,,SMH,,,,,,,,,KSBBLP,
